name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Aaron Brooks,19.16,18.0,8.64,12.2,22.72,19.040000000000003,1.4999999999999996,15.16,5.42,0.0,12.56,10.38,6.819999999999999,11.06,2.92,3.4400000000000004
Aaron Rodgers,24.96,25.66,8.42,11.659999999999998,17.5,22.56,16.759999999999998,12.12,6.440000000000001,9.44,2.68,20.96,16.96,15.54,7.319999999999999,17.759999999999998
Alex Smith,16.8,15.7,15.82,12.72,12.420000000000002,16.44,12.72,4.7,1.58,11.0,16.0,8.34,8.06,15.84,0.2799999999999998,10.48
Andrew Luck ,19.46,11.36,13.86,35.660000000000004,22.6,22.74,22.74,21.360000000000003,21.2,23.880000000000003,23.12,9.52,23.56,9.68,21.58,23.1
Andy Dalton,5.96,11.04,0.0,23.54,0.1,0.0,24.56,15.7,3.74,14.94,0.0200000000000001,-0.1,6.32,2.2,1.0999999999999996,0.0
Armanti Edwards,0.0,8.7,1.4,0.0,0.0,1.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Baker Mayfield,19.9,17.72,18.860000000000003,24.66,19.64,11.12,4.08,22.92,16.82,3.54,14.46,11.079999999999998,17.18,12.7,17.44,13.22
Ben Roethlisberger,12.02,13.8,13.22,9.28,16.019999999999996,10.86,14.64,16.2,22.92,8.52,17.339999999999996,22.82,11.92,6.359999999999999,6.82,11.36
Blaine Gabbert,-0.1,8.04,6.6,0.2,-0.1,0.0,15.22,-0.3,1.5399999999999998,0.6,0.24,0.0,-0.1,5.16,-2.86,8.76
Blake Bortles,13.239999999999998,32.54,8.9,24.32,20.6,10.16,1.4399999999999995,19.74,21.6,3.86,8.98,4.0600000000000005,3.78,0.0,0.1,-0.88
Brad Johnson ,0.0,0.0,0.0,0.0,0.0,0.0,7.359999999999999,8.78,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Smith,1.9,0.2,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Favre ,6.960000000000001,20.84,28.84,8.84,3.0,7.839999999999999,20.660000000000004,8.719999999999999,6.48,8.36,21.94,4.700000000000001,6.32,7.78,-2.0,4.52
Brian Griese,0.96,0.24,2.04,4.960000000000001,14.239999999999998,14.460000000000004,23.340000000000003,16.880000000000003,5.12,3.88,13.0,10.3,18.28,3.960000000000001,3.52,12.76
Brian Hoyer,-0.3,15.32,6.16,-0.2,-0.2,2.0,2.8600000000000003,-0.3,7.2,-0.1,0.0,2.62,1.48,0.0,3.78,1.16
