name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
AJ Dillon,7.699999999999999,4.8,8.6,8.100000000000001,9.6,9.2,8.8,7.2,2.7,1.0,1.9,0.0,1.7,1.2,1.0,0.8
Aaron Jones,17.6,10.8,9.7,10.0,14.2,2.3,4.0,10.8,14.4,9.6,7.199999999999999,2.5,7.6,8.0,10.3,13.8
Aaron Ripkowski,0.0,0.7,0.0,1.5,0.2,0.5,0.0,1.4,2.0,1.1,0.4,0.0,0.0,0.0,0.9,0.0
Aaron Stecker,0.0,0.5,7.6,2.0,6.1,2.1,1.7,2.2,4.300000000000001,0.0,0.0,0.0,0.0,0.0,0.9,0.0
Adam Prentice,0.0,0.0,0.4,0.8,0.3,0.0,0.0,0.2,1.8,1.9,1.9,4.300000000000001,-0.1,0.0,0.3,0.0
Adrian Peterson,12.3,3.5,1.7,5.800000000000001,3.5,1.8,17.5,17.7,3.5,2.3,1.0,12.3,9.1,2.5,5.4,7.6
Ahmad Bradshaw,11.0,24.1,15.3,12.2,10.5,13.4,22.3,18.2,9.4,3.1,2.1,1.8,3.1,7.6,19.2,4.1
Ahman Green,5.1,4.7,4.8,13.0,5.1,3.3,14.9,5.2,1.7999999999999998,6.0,1.0,2.3,1.1,0.0,8.9,4.2
Ahmard Hall,4.1,0.0,0.8,3.9,0.0,0.0,2.3,1.4,0.0,0.0,1.7,3.6,0.0,0.8,0.1,1.6
Alan Ricard,2.2,0.0,0.3,0.5,0.5,3.0,0.0,1.5,0.5,0.9,0.4,0.8,2.3,0.0,1.6,1.2
Alec Ingold,2.3,0.0,0.0,0.0,3.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.9,1.4,0.0,0.8
Alex Armah,0.2,6.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8,0.0,0.0,0.0,1.5
Alex Collins,13.3,10.4,7.8,11.2,8.9,2.5,0.8,14.8,8.2,16.3,4.9,4.4,5.4,3.6,1.2,2.2
Alexander Mattison,4.0,3.4,14.2,6.1,11.9,6.0,7.1,15.0,13.8,6.9,3.6,8.4,1.4,13.6,4.3,5.1
Alfonso Smith,5.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.3,0.6000000000000001
Alfred Blue,9.6,3.6,2.2,3.1,15.9,5.3,2.8,4.2,3.9,4.6,6.7,5.4,8.1,2.5,6.0,3.4000000000000004
Alfred Morris,10.6,0.0,2.5,2.8,1.3,1.9,1.2,18.0,0.4,3.4,0.8,17.0,0.7,3.9,1.8,1.2
Alvin Kamara,13.4,10.9,13.9,10.4,15.0,12.7,13.0,6.1,9.2,7.5,10.1,4.4,5.5,0.1999999999999999,13.0,2.5
Ameer Abdullah,0.3,16.1,17.0,16.2,6.6,2.1,3.2,1.3,1.0,0.0,0.0,1.9,7.2,-1.1,0.9,3.5
Amos Zereoue,26.4,12.9,7.1000000000000005,8.4,6.6,7.6,1.6,1.4,4.3,6.7,2.5,7.199999999999999,3.8,0.0,2.4,0.0
Andre Ellington,0.0,1.4,0.0,3.6,4.5,3.8,10.6,14.9,10.8,0.0,2.4,10.5,7.699999999999999,2.7,0.0,0.0
Andre Williams,0.2,0.1,2.2,0.3,2.1,0.5,2.6,8.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.3
Andrew Pinnock,0.0,0.0,0.0,0.2,0.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
Andy Janovich,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.6,0.0,0.0
Anthony Dixon,6.1,0.0,-0.1,3.0,5.4,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,1.4,0.0,0.6
Anthony Sherman,0.0,0.0,0.0,0.2,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Anthony Thomas,2.8,6.4,8.0,4.1,0.7,0.3,1.2000000000000002,0.0,0.0,0.4,2.6,0.9,1.6,0.0,6.1,19.1
Antone Smith,11.0,12.2,16.0,14.9,1.9,0.5,0.3,0.8,0.0,1.1,0.0,0.0,0.0,5.699999999999999,3.0,6.7
Antonio Gibson,5.8,1.8,0.6,1.6,2.6,2.5,5.0,12.2,7.4,4.6,8.1,0.3,3.3000000000000003,0.7999999999999998,8.7,3.1
Antowain Smith,0.2,1.5,2.2,0.6,4.5,20.8,8.0,3.3,12.7,3.2,4.5,5.5,14.7,2.5,4.8,5.5
Arian Foster ,19.5,37.3,18.9,19.0,21.8,13.2,16.6,9.8,5.0,16.3,19.7,27.0,11.5,0.9,2.5,1.4
Arlen Harris,0.0,0.0,0.0,2.8,0.0,10.7,0.0,0.0,0.0,11.1,4.7,2.4,0.0,7.6,9.5,8.7
Artose Pinner,1.3,0.0,0.5,2.9,0.0,33.0,0.4,0.5,0.7,0.0,0.0,0.0,0.0,4.9,0.0,-0.3
Austin Ekeler,3.5,8.399999999999999,8.2,10.0,12.7,10.7,8.8,3.0,6.8,15.8,17.599999999999998,13.6,3.4000000000000004,4.2,7.199999999999999,3.4000000000000004
Aveion Cason,0.8,1.0,0.0,8.1,1.6,0.9,4.4,2.2,3.2,0.0,2.8,0.1,0.4,0.0,0.2,1.9
B.J. Askew,0.9,3.5,1.6,2.8,8.0,0.3,0.0,2.3,0.0,7.1,0.9,0.9,0.0,0.4,0.0,0.0
B.J. Sams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beanie Wells,6.2,3.3,28.8,13.8,3.5,12.6,6.6,0.0,1.4,7.300000000000001,1.8,16.8,2.2,1.8,24.7,0.3
Ben Tate,13.7,5.2,28.2,6.6,10.7,4.1,12.7,19.8,3.9,9.9,5.199999999999999,13.1,-0.9,1.5,1.5,0.8
BenJarvus Green-Ellis,9.4,8.5,8.9,1.3,12.7,8.6,2.4,3.3,7.2,3.6,6.2,16.0,16.8,0.4,9.9,6.6
Benny Cunningham,1.1,0.0,0.0,1.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,1.3
Bernard Pierce,8.1,0.2,3.1,3.9,1.6,5.0,3.7,-0.2,0.8,0.9,0.4,1.4,0.0,0.6,0.0,0.0
Bernard Scott,8.9,3.9,9.1,2.4,3.8,4.0,1.3,3.0,2.9,8.0,2.8,10.7,-0.5,4.0,1.8,1.6
Bijan Robinson,18.3,13.6,26.1,32.8,18.2,4.3,13.6,9.8,28.3,11.7,27.8,8.4,25.5,26.3,37.4,5.8
Bilal Powell,7.9,5.9,3.0,0.0,0.4,0.5,0.3,1.1,1.6,1.5,5.2,2.5,2.8,9.8,1.3,2.7
Bob Christian,0.0,6.0,1.4,4.3,0.0,0.8,3.5,8.7,1.6,9.0,1.0,4.300000000000001,6.3,1.4,0.0,5.5
Bobby Rainey,10.4,3.9,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.8,0.8,2.1,1.8,0.0,0.6
Boston Scott,11.4,1.5,4.0,0.0,0.0,2.1,0.0,0.9,0.8,1.4,3.4000000000000004,0.9,0.0,-1.7,0.0,0.5
Brad Hoover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.0,0.2,6.7,11.4,2.1
Brandon Bennett,7.7,0.0,4.800000000000001,1.6,10.1,2.1,5.0,5.4,0.0,0.0,6.5,1.1,0.1,0.0,0.0,0.0
Brandon Bolden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.6,0.0
Brandon Jackson,5.9,3.9,16.5,9.7,17.9,8.2,20.8,8.6,5.1,9.6,4.3,10.7,5.4,4.5,3.0,5.4
Brandon Jacobs,4.7,10.6,11.9,22.1,3.3,6.0,1.6,0.1,0.6,6.4,0.2,1.5,3.7,23.9,6.9,7.5
Breece Hall,15.5,4.8,7.199999999999999,13.6,15.5,5.9,6.199999999999999,31.86,19.0,7.399999999999999,11.9,14.6,4.3,4.699999999999999,7.300000000000001,19.9
Brian Hill,14.5,3.3,6.4,2.4,4.5,7.4,2.4,1.8,5.5,1.8,2.0,1.7000000000000002,7.6,15.1,0.0,0.0
Brian Leonard,0.0,2.2,2.1,0.8,2.0,6.9,8.8,8.3,5.7,1.1,2.0,2.6,1.2,0.9,5.1,2.0
Brian Mitchell ,8.799999999999999,1.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Brian Robinson Jr.,2.4,2.2,2.1,1.2,2.3,3.6,0.0,11.3,11.0,2.4,4.9,2.6,2.1,2.0,3.3000000000000003,0.9
Brian Westbrook ,4.7,5.7,0.0,1.6,0.6,2.4,-0.1,1.8,0.9,0.0,19.6,3.1,20.0,10.0,5.3,21.8
Bruce Miller,0.4,0.0,0.0,1.3,0.3,7.8,0.0,1.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Johnson ,9.1,0.6,0.0,2.0,0.6,0.0,0.0,0.3,0.0,0.0,1.7,1.6,0.0,0.0,1.2,0.0
Bryce Brown,4.0,0.4,1.9,0.0,17.5,7.1,1.5,13.0,10.6,2.0,1.1,3.5,6.5,4.3,0.9,8.0
Buddy Howell,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Anderson,15.8,22.8,6.1,3.5,3.1,9.8,0.9,0.0,0.0,2.0,0.1,-0.1,22.7,22.9,3.5,0.8
C.J. Ham,0.0,0.0,0.0,1.4,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1,0.3,0.0,7.199999999999999
C.J. Spiller,4.7,7.8,10.6,1.5,4.4,1.6,0.5,2.4,2.8,8.7,5.0,0.0,0.4,0.0,1.7,0.0
Cadillac Williams,6.0,7.4,5.800000000000001,0.7,16.5,5.5,8.4,4.9,1.9,0.0,1.7,0.0,4.9,2.7,4.2,7.7
Cam Akers,11.7,-0.1,0.0,0.0,6.3,5.2,10.6,3.0,2.2,3.7,8.4,0.3,10.3,7.9,1.9,0.0
Carlos Hyde,2.6,6.6,13.3,3.1,6.800000000000001,0.7,4.4,1.3,0.0,10.2,5.8,0.9,0.0,1.6,6.800000000000001,1.2999999999999998
Cecil Martin ,0.6,0.0,4.4,0.0,0.5,1.1,0.9,2.4,1.2,0.0,0.0,0.0,7.4,0.0,1.6,0.0
Cecil Sapp,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0
Cedric Benson,5.3,12.7,7.8,6.7,16.1,21.0,5.2,9.6,15.2,7.0,7.1,1.8,13.6,14.4,12.6,5.1
Cedric Peerman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Chad Morton,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charcandrick West ,9.0,0.0,2.3,6.0,14.3,1.4,0.9,5.8,4.4,2.2,8.5,0.6,4.3,0.0,10.8,-0.2
Charles Sims,1.9,1.8,2.6,5.9,6.5,2.5,0.0,2.1,10.5,4.3,4.4,6.1,3.7,2.6,2.4,0.6
Charlie Garner,12.7,1.2,14.3,10.0,12.4,14.3,13.7,0.9,6.4,5.4,5.7,8.899999999999999,12.6,3.4,12.9,5.5
Charlie Rogers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Brown,7.5,4.0,8.6,8.3,5.9,11.0,24.0,15.2,15.7,14.0,14.8,17.0,12.5,30.9,27.6,17.0
Chase Edmonds,4.5,0.8,1.2,3.1,-0.1,1.2,2.4000000000000004,1.1,1.4,6.8,1.3,2.5,8.1,2.9000000000000004,0.0,0.0
Chase Reynolds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Chester Taylor,7.399999999999999,0.5,0.4,1.1,0.0,3.7,1.1,2.1,2.2,3.4,0.7000000000000001,0.0,2.3,3.5,2.9,7.899999999999999
Chris Brown,7.5,8.2,2.1,2.5,1.9,7.6,4.5,2.3,3.9,6.8,15.1,7.6,0.7,1.6,1.5,0.0
Chris Carson,6.5,21.6,18.3,9.1,23.5,16.9,12.9,18.5,17.3,7.899999999999999,9.4,9.3,11.2,15.1,15.2,3.6
Chris Fuamatu-Ma'afala,1.1,1.3,2.4,1.1,4.0,6.2,0.5,1.5,0.0,10.1,0.4,1.2,0.2,2.0,2.5,0.4
Chris Hetherington,0.3,0.7,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.6,0.5,0.5,0.0
Chris Ivory,2.0,4.8,4.2,0.3,10.2,14.1,1.5,4.3,1.4,12.1,5.0,7.0,1.4,0.4,4.2,9.6
Chris Johnson ,10.9,10.3,5.0,18.2,10.9,5.8,7.0,1.7,0.2,11.4,0.5,3.4,4.4,2.6,7.800000000000001,3.4000000000000004
Chris Massey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Ogbonnaya,4.2,6.4,12.9,5.1,4.4,4.9,7.1,1.7000000000000002,1.4,8.4,0.0,1.7,0.9,0.0,0.0,0.0
Chris Polk,9.8,3.6,5.7,0.5,12.5,3.2,4.4,2.8,2.7,1.4,3.2,13.7,5.800000000000001,0.6,3.8,0.4
Chris Pressley,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Thompson,8.0,6.3,3.0,3.4,7.8,3.6,7.2,1.6,1.6,10.2,6.3,0.0,5.7,3.0,5.8,0.0
Christian McCaffrey,19.7,19.0,23.1,23.9,20.6,35.6,8.3,31.8,13.6,32.6,23.7,15.4,15.2,29.6,26.1,8.7
Chuba Hubbard,6.9,30.5,16.2,8.600000000000001,8.4,6.5,9.4,1.7,2.0,3.3,6.300000000000001,19.4,4.3,3.9,1.2999999999999998,2.7
Clinton Portis,8.799999999999999,14.6,14.0,7.7,9.8,5.3,9.8,20.4,13.9,4.3,0.4,6.9,15.3,6.300000000000001,9.1,5.1
Clyde Edwards-Helaire,1.8,0.4,2.1,0.5,0.4,2.0,0.5,1.9,7.800000000000001,18.1,6.300000000000001,1.5,4.0,4.5,0.5,2.7
Cordarrelle Patterson,6.5,4.3,0.0,2.0,1.3,0.3,6.3,7.199999999999999,1.4,0.5,-0.2,6.800000000000001,-1.4,1.2999999999999998,7.7,0.2
Corey Clement,5.1000000000000005,0.0,1.8,0.0,16.0,0.0,0.0,1.3,2.6,0.0,0.0,3.2,12.3,0.0,0.0,0.0
Corey Dillon,10.5,14.0,1.6,12.7,4.5,16.7,3.7,17.8,10.8,9.1,4.8,21.5,8.5,10.6,9.0,25.6
Corey McIntyre,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Correll Buckhalter,3.1,1.5,7.9,7.5,12.6,3.0,2.0,4.3,1.9,1.4,1.2,0.0,0.5,2.5,22.7,7.7
Cory Schlesinger,0.0,7.6,0.0,0.0,1.7,0.0,2.8,1.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Reynolds,0.0,2.1,0.6,0.0,0.0,0.0,2.8,7.6,3.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Cullen Gillaspia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Martin ,12.2,25.4,10.2,18.5,9.2,8.799999999999999,8.1,6.0,17.9,22.1,12.9,13.2,8.6,1.6,11.4,7.5
D'Andre Swift,12.5,8.0,12.4,9.3,24.5,20.3,14.1,12.3,9.0,1.4,20.3,9.7,22.1,8.0,20.9,5.3
D'Ernest Johnson,5.4,8.5,2.8,0.6,0.0,0.3,1.3,2.1,3.1,0.0,0.0,0.1,0.0,0.0,0.5,1.3
D'Onta Foreman,8.3,16.2,7.4,8.2,-0.6,0.0,5.6000000000000005,0.5,1.2,6.5,5.699999999999999,0.5,2.6,-1.9,4.9,4.0
