name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Aaron Hernandez,9.2,7.8,10.9,25.0,5.7,25.9,15.4,0.0,12.0,7.9,4.6,13.7,21.8,20.2,1.8,6.9
Adam Shaheen,0.0,0.9,0.0,0.0,6.8,12.6,0.0,0.0,2.4,0.0,7.2,0.0,3.6,2.0,0.8,2.7
Alan Cross,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Alex Smith,0.0,0.0,0.0,0.0,0.8,6.7,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
Alge Crumpler,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,3.2,0.0,0.0,0.8,6.9,7.5
Andrew Quarless,8.1,1.4,2.9,8.0,4.5,6.0,2.7,6.7,1.2,2.7,0.0,0.0,0.0,2.4,2.7,0.0
Anthony Becht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.1,0.0
Anthony Fasano,0.0,0.0,0.0,0.0,0.0,10.0,2.1,1.9,0.0,0.0,0.0,3.4,2.2,2.5,0.0,0.6
Anthony Firkser,1.5,6.5,0.0,3.4,21.3,1.7,4.6,3.4,1.0,5.3,0.0,7.6,1.0,2.5,1.6,2.8
Anthony McCoy,0.0,0.0,9.3,1.6,12.0,0.0,7.1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gates,2.6,0.0,6.0,9.7,2.9,1.0,2.1,0.0,2.3,16.5,2.3,0.0,2.9,7.4,3.6,0.0
Antony Auclair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hooper,3.5,11.7,8.0,2.5,3.2,4.0,11.9,8.2,7.7,1.6,4.8,8.3,3.4,12.6,10.6,11.7
Austin Seferian-Jenkins,11.9,14.6,9.6,5.3,3.0,9.7,3.7,1.7,0.6,2.3,4.1,4.0,9.8,3.3,3.4,0.0
Bear Pascoe,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
Ben Braunecker,0.0,0.0,0.0,2.3,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.3,1.9
Ben Hartsock ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Koyack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
Ben Patrick,4.2,0.0,1.6,3.9,2.2,5.5,1.1,0.0,0.0,1.6,3.9,0.0,0.0,0.0,0.0,0.0
Ben Watson,2.5,0.0,3.9,3.3,1.1,3.9,3.3,3.1,4.8,6.7,0.0,2.8,1.2,0.0,3.0,0.9
Billy Bajema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.5
Blake Bell,0.6,0.0,4.4,0.0,3.4,1.8,0.0,0.0,0.0,0.09999999999999998,1.8,0.0,0.7,1.6,1.7,1.2
Blake Jarwin,2.7,0.8,6.4,0.0,1.6,6.6,10.7,5.0,4.8,3.2,1.9,8.0,5.0,1.9,0.0,1.7
Bo Scaife,0.0,2.4,11.2,3.5,3.3,3.7,2.2,13.3,2.2,0.0,8.6,7.1,1.5,1.2,16.0,0.0
Brandon Bostick,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.9,0.0,0.0,2.4,1.7,2.7,0.0,0.0,1.2
Brandon Manumaleuna,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4,0.0,0.0,1.1,9.3,0.0,0.0,0.0,0.0
Brandon Myers,6.9,0.0,1.2,0.0,1.7,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.4,0.0,3.1,0.0
Brandon Pettigrew,4.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4.4,0.0,6.7,1.3,2.6,0.0,1.2
Brandon Williams,0.0,2.5,0.0,2.5,1.2,3.7,3.2,0.0,1.1,0.0,3.0,0.0,0.0,2.1,1.8,0.0
Brent Celek,1.6,0.0,0.0,0.0,1.0,0.0,0.8,1.9,5.4,3.3,0.0,0.0,7.0,0.0,1.7,2.8
Brian Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Fiedorowicz,8.1,17.5,6.0,12.8,4.1,11.2,6.2,7.4,4.7,6.2,8.2,6.6,2.0,2.8,5.7,2.6
C.J. Uzomah,0.0,0.0,2.6,3.6,0.0,0.9,0.0,1.5,0.0,7.6,0.9,1.3,11.7,11.0,6.5,12.2
Cameron Brate,0.0,0.0,0.0,6.8,6.9,0.8,1.3,4.5,0.0,10.6,3.8,5.4,1.4,7.4,3.7,1.6
Cethan Carter,0.0,0.0,0.0,0.6,2.9,0.0,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6
Charles Clay,0.0,1.0,1.1,1.4,0.8,3.2,1.8,1.7,10.3,1.1,1.0,0.0,3.9,7.0,2.3,2.1
Chase Coffman ,2.8,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,1.9,0.0,6.2,10.9,0.0,0.0
Chris Baker,0.0,0.0,0.0,1.3,2.1,0.0,1.0,1.2,6.1,0.0,7.8,0.0,2.0,0.0,0.0,0.6
Chris Cooley,7.3,7.8,3.1,0.0,6.4,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
Chris Gragg,0.0,0.7,2.1,2.0,0.0,7.9,4.5,0.0,0.0,0.0,0.0,0.0,1.6,2.1,2.9,0.0
Chris Herndon,4.7,1.0,3.6,1.6,3.4,0.0,0.0,-1.2,0.0,10.2,0.0,0.0,1.4,6.3,11.4,15.8
Chris Manhertz,0.0,0.9,1.3,0.0,2.2,0.0,1.1,0.0,1.1,0.0,0.0,0.0,1.6,0.0,0.0,0.0
Clark Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay Harbor,2.3,0.0,0.0,0.0,0.0,0.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clive Walford,0.0,0.0,0.0,0.0,0.9,0.0,7.7,2.3,0.0,0.0,1.3,0.0,0.0,0.4,4.4,2.0
Coby Fleener ,11.1,1.1,2.0,4.0,5.3,13.9,10.8,2.6,3.1,0.0,3.2,0.4,5.6,0.0,11.6,1.3
