name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A.J. Green,7.6,4.4,6.1,0.8,0.0,13.6,11.7,2.9,0.0,12.1,0.0,0.0,15.2,5.0,8.4,0.0
Adam Humphries,2.5,5.0,7.7,6.0,3.9,8.5,8.8,3.5,7.8,7.7,13.3,6.1,15.4,2.4,0.0,1.4
Adam Thielen,0.2,26.0,4.6,10.8,22.2,24.8,12.6,4.2,4.8,18.3,28.3,17.5,5.4,8.1,19.7,7.7
Albert Wilson,6.8,30.0,5.1,2.4000000000000004,4.0,2.7,7.0,0.8,0.5,4.1,6.699999999999998,8.8,1.0,8.4,12.3,9.2
Aldrick Robinson,1.7,7.7,1.4,16.3,0.0,0.0,9.9,2.4,3.0,9.4,1.6,6.2,0.0,11.4,0.0,0.0
Alex Erickson,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,-2.0,1.5,-0.4,2.7,-0.6,0.0,11.8,1.5
Allen Hurns,0.0,5.4,2.7,1.8,1.1,2.6,6.8,7.7,2.6,4.2,5.3,12.2,4.8,9.3,1.4,5.1
Allen Robinson,9.8,4.8,23.3,19.6,14.0,7.8,9.0,17.7,11.6,7.3,23.4,10.5,22.8,10.3,15.3,4.7
Alshon Jeffery,0.0,11.3,8.2,18.6,4.8,8.4,5.6,24.2,0.0,0.0,0.0,2.5,0.0,8.0,7.3,2.7
Amari Cooper,13.1,13.0,13.1,25.4,3.1,17.4,12.0,1.0,10.0,11.1,20.2,13.8,13.1,1.3,14.1,7.1
Andre Caldwell,0.0,0.0,0.6,1.1,0.7,0.0,0.0,2.8,2.9,0.0,8.3,0.0,7.8,0.3,0.0,0.0
Andre Holmes,0.0,1.9,0.0,4.4,1.8,0.0,2.5,1.8,5.5,1.1,2.7,0.0,0.0,0.0,1.0,0.0
Andre Johnson ,0.0,1.8,2.7,5.4,3.4,4.7,5.4,12.6,4.5,7.4,0.0,4.8,8.3,0.0,0.0,0.0
Andre Roberts,0.0,0.0,0.0,0.0,0.8,0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.2
Andrew Hawkins,-0.1,4.3,2.5,4.3,13.6,6.3,2.9,17.6,2.3,0.0,2.5,0.0,0.9,3.8,2.6,3.4
Anquan Boldin,5.0,12.8,10.2,6.1,6.8,16.0,10.3,0.9,8.0,6.7,16.4,6.0,12.4,2.8,5.8,13.7
Anthony Armstrong ,0.0,0.0,0.0,0.5,11.5,0.0,0.0,1.4,1.1,0.0,0.8,1.9,0.0,0.0,0.0,0.0
Anthony Miller,15.6,0.0,12.0,3.1,4.8,2.3,3.5,11.3,6.4,3.8,4.3,8.399999999999999,2.6,1.8,2.0,2.3
Antonio Brown,18.6,20.2,11.2,26.4,6.0,12.9,37.5,14.1,4.6,10.1,9.8,2.1,7.4,17.8,11.5,31.3
Antwaan Randle El ,1.8,0.5,1.9,6.0,1.6,1.8,4.8,7.260000000000002,9.1,0.0,0.0,0.0,2.9,1.3,0.0,7.2200000000000015
Arnaz Battle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrelious Benn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Collie,5.2,5.1,4.3,10.5,4.5,0.0,6.4,20.1,1.1,3.4,1.5,0.0,0.0,0.9,3.5,0.0
Austin Pettis,1.7,2.7,4.3,1.8,0.0,0.0,1.6,2.4,6.1,2.6,2.5,0.0,6.1,10.3,4.4,3.0
Ben Obomanu,3.8,1.8,4.8,3.0,5.2,0.0,0.0,1.3,0.0,1.1,0.0,6.5,0.0,0.0,0.0,1.3
Bennie Fowler,7.1,5.3,3.1,3.6,6.5,9.6,1.0,0.8,5.5,3.1,3.7,2.6,0.0,0.0,0.0,2.1
Bernard Berrian,0.0,0.9,3.5,2.5,12.6,0.0,1.9,5.5,0.0,2.6,2.6,0.0,2.2,0.0,2.5,7.9
Bradley Marquez,0.0,0.0,1.7,0.0,0.2,1.8,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,5.5,3.0,12.0,3.8,0.0,26.1,17.3,9.5,15.8,6.9,10.5,11.0,9.0,8.9,23.6,34.1
Brandon Banks,5.96,0.0,0.1,1.5,1.1,0.0,3.9,0.0,0.0,1.1,0.0,0.0,0.6000000000000001,1.1,1.3,0.0
Brandon Coleman,2.3,16.2,7.6,3.6,3.3,10.1,5.9,1.2,3.5,1.1,0.0,3.8,4.2,3.1,0.0,0.0
Brandon Gibson,18.5,6.9,1.4,4.2,0.8,3.6,1.2,2.3,3.0,8.3,6.7,2.7,1.2,4.4,6.0,4.2
Brandon LaFell,6.4,3.8,18.5,5.2,4.8,7.5,9.9,6.3,2.8,4.5,0.0,0.0,11.4,3.5,6.7,9.9
Brandon Lloyd,9.2,1.4,0.0,1.0,3.8,9.1,14.5,7.8,1.5,0.0,0.0,0.0,1.1,1.7,0.0,1.9
