name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Aaron Brooks,19.16,18.0,8.64,12.2,22.72,19.040000000000006,1.4999999999999996,15.16,5.42,0.0,12.56,10.38,6.8199999999999985,11.06,2.92,3.4400000000000004
Aaron Rodgers,30.76,18.7,24.52,29.58,3.8,27.32,22.54,28.9,25.4,21.74,25.64,23.5,30.9,18.32,25.14,26.0
Alex Smith,16.8,15.7,15.82,12.72,12.420000000000002,16.44,12.72,4.7,1.58,11.0,16.0,8.34,8.06,15.84,0.2799999999999998,10.48
Andrew Luck ,19.46,11.36,13.86,35.66000000000001,22.6,22.74,22.74,21.360000000000007,21.2,23.880000000000006,23.12,9.52,23.56,9.68,21.58,23.1
Andy Dalton,13.32,9.58,2.1399999999999992,29.84,16.6,0.0,2.4400000000000004,11.04,2.6,18.82,12.3,17.599999999999994,15.3,17.16,26.58,12.52
Armanti Edwards,0.0,8.7,1.4,0.0,0.0,1.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Baker Mayfield,9.86,15.259999999999998,14.34,15.2,15.580000000000002,5.26,29.78,7.7799999999999985,5.38,7.0600000000000005,18.42,28.96,28.02,20.980000000000004,8.0,16.240000000000002
Ben Roethlisberger,9.739999999999998,3.0,22.06,18.24,17.18,21.360000000000007,10.98,12.62,15.28,29.32,16.68,12.54,18.2,11.48,6.700000000000001,25.48
Blaine Gabbert,17.34,10.04,8.32,8.36,2.68,8.879999999999997,0.32,6.719999999999999,-0.1,-0.1,8.04,6.6,0.2,-0.1,0.0,15.22
Blake Bortles,13.239999999999998,32.54,8.9,24.32,20.6,10.16,1.4399999999999995,19.74,21.6,3.86,8.98,4.0600000000000005,3.78,0.0,0.1,-0.88
Brad Johnson ,0.0,0.0,0.0,0.0,0.0,0.0,7.3599999999999985,8.78,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Smith,1.9,0.2,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Favre ,6.960000000000001,20.84,28.84,8.84,3.0,7.839999999999999,20.660000000000004,8.719999999999999,6.48,8.36,21.94,4.700000000000001,6.32,7.78,-2.0,4.52
Brian Griese,0.96,0.24,2.04,4.960000000000001,14.239999999999998,14.460000000000004,23.340000000000003,16.880000000000006,5.12,3.88,13.0,10.3,18.28,3.9600000000000013,3.52,12.76
Brian Hoyer,1.36,1.48,0.0,-0.2,-0.1,0.2,-0.3,-0.2,0.48,-0.2,-0.3,15.32,6.16,-0.2,-0.2,2.0
Brock Osweiler,3.68,-2.08,20.22,0.62,8.32,10.74,14.56,23.26,8.42,6.1000000000000005,24.0,17.76,7.6400000000000015,5.96,6.52,0.0
Bruce Gradkowski,14.12,15.0,26.32,7.7200000000000015,8.48,13.5,16.72,0.56,3.12,10.08,7.68,-1.2199999999999998,0.0,0.0,2.4,-0.2
Byron Leftwich,5.0,0.0,-0.7799999999999999,10.4,2.24,0.0,2.4,5.36,9.06,10.0,15.34,19.84,-0.8200000000000001,1.68,2.92,15.06
Cam Newton,11.32,25.7,34.58,11.18,17.98,-0.18000000000000016,16.36,24.56,16.82,19.200000000000006,3.96,23.56,4.3599999999999985,12.16,9.76,37.98
Carson Palmer,24.52,16.64,13.02,17.560000000000002,23.9,10.3,20.72,15.26,20.2,8.92,15.88,21.7,16.380000000000006,15.64,20.92,2.88
Carson Wentz,19.9,21.54,18.96,17.060000000000002,13.0,12.38,21.5,19.42,15.42,25.42,27.76,6.619999999999999,8.72,14.4,18.8,4.96
Case Keenum,13.840000000000002,12.38,13.98,12.48,27.2,16.74,11.580000000000002,-0.52,15.64,3.08,3.2,-0.1,16.42,10.24,1.84,0.0
Chad Henne,9.86,13.8,15.98,15.68,15.58,15.240000000000002,17.44,11.419999999999998,1.32,-0.2,-0.3,-0.2,1.46,6.32,0.68,16.72
Chad Pennington,17.36,16.3,16.060000000000002,9.14,10.46,7.66,30.34,8.14,11.24,14.64,19.2,16.2,9.04,5.7200000000000015,2.46,0.76
Charlie Batch,0.0,-0.1,-1.44,-0.2,12.62,0.68,1.0,18.040000000000006,4.04,0.0,-0.2,0.0,6.32,0.0,1.96,13.04
Chase Daniel,-0.2,0.0,0.64,-0.2,-0.2,0.0,-0.3,18.9,11.8,12.2,13.44,0.36,6.26,1.16,1.3000000000000005,3.44
Chris Chandler,-0.56,7.38,8.52,-1.68,2.36,13.28,8.06,8.16,6.320000000000001,3.3600000000000003,3.64,0.0,0.0,10.64,2.04,-1.96
Colin Kaepernick,22.6,4.96,9.28,0.0,0.0,18.08,16.119999999999994,24.22,23.9,19.44,33.14,2.16,11.62,17.42,24.14,14.2
Colt McCoy,-0.3,9.420000000000002,17.560000000000002,26.88,5.0600000000000005,3.96,8.82,0.0,9.66,15.52,2.0,4.2799999999999985,1.94,6.4,-1.28,9.14
Dak Prescott,18.22,20.56,21.48,25.880000000000006,31.56,6.880000000000001,20.7,17.46,17.68,11.3,29.62,17.64,39.8,27.48,33.28,12.94
Damon Huard,2.72,9.1,12.64,15.06,5.84,18.46,4.88,12.52,-0.6800000000000002,7.440000000000001,20.2,6.719999999999999,0.18000000000000016,10.3,-0.66,3.84
Daunte Culpepper,5.58,16.159999999999997,6.8,2.06,15.58,5.44,7.3599999999999985,13.5,2.16,17.68,-0.08000000000000007,2.66,2.5000000000000004,0.96,3.64,17.38
David Carr,0.0,6.2200000000000015,6.280000000000001,0.2999999999999998,-0.3,4.0,9.9,0.2,0.0,12.3,7.28,0.8800000000000001,1.04,0.6800000000000002,0.16,0.3
David Garrard,10.4,18.08,19.8,2.82,5.4,24.92,18.02,-0.040000000000000036,32.599999999999994,25.18,13.06,14.58,12.94,19.56,18.56,21.86
Derek Anderson ,5.72,0.0,16.48,0.2,1.24,-0.2,0.12,10.88,7.52,-2.0,0.0,0.68,-0.2,0.0,1.0,9.5
Derek Carr,13.56,21.58,15.439999999999998,20.44,23.980000000000004,19.26,12.58,14.0,7.16,21.6,0.5999999999999996,31.74,23.84,2.12,23.24,18.94
Deshaun Watson,20.82,14.7,17.060000000000002,20.9,24.86,32.0,24.16,24.24,14.12,31.36,31.12,19.44,16.56,23.42,26.76,25.8
Donovan McNabb,10.9,17.28,9.94,7.8,14.9,13.8,17.439999999999998,11.14,12.34,17.119999999999994,6.760000000000002,10.32,13.54,14.079999999999998,13.16,7.08
