name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Aaron Jones,27.0,15.3,15.6,43.6,15.6,19.6,11.6,10.4,12.0,15.1,9.5,22.3,8.5,23.3,11.8,16.5
Aaron Ripkowski,0.0,0.7,0.0,1.5,0.2,0.5,0.0,1.4,2.0,1.1,0.4,0.0,0.0,0.0,0.9,0.0
Adrian Peterson,12.9,4.1,9.0,9.6,12.3,3.5,1.7,5.800000000000002,3.5,1.8,17.5,17.7,3.5,2.3,1.0,12.3
Ahmad Bradshaw,11.0,24.1,15.3,12.2,10.5,13.4,22.3,18.2,9.4,3.1,2.1,1.8,3.1,7.6,19.2,4.1
Ahmard Hall,4.1,0.0,0.8,3.9,0.0,0.0,2.3,1.4,0.0,0.0,1.7,3.6,0.0,0.8,0.1,1.6
Alex Armah,0.1,1.9,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.5,1.4,0.3,0.0
Alex Collins,23.6,7.7,8.1,16.6,8.4,10.5,14.9,11.0,7.1000000000000005,17.4,6.3,13.3,10.4,7.8,11.2,8.9
Alfonso Smith,5.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.3,0.6000000000000001
Alfred Blue,9.6,3.6,2.2,3.1,15.9,5.3,2.8,4.2,3.9,4.6,6.7,5.4,8.1,2.5,6.0,3.4000000000000004
Alfred Morris,10.6,0.0,2.5,2.8,1.3,1.9,1.2,18.0,0.4,3.4,0.8,17.0,0.7,3.9,1.8,1.2
Alvin Kamara,18.7,21.2,33.9,38.2,19.4,15.9,18.8,20.8,13.4,31.3,10.5,5.7,16.7,18.9,16.9,54.7
Ameer Abdullah,0.0,0.0,0.0,0.0,0.0,1.3,0.0,8.7,0.0,0.0,0.0,3.4000000000000004,3.1,0.0,1.3,8.2
Andre Ellington,0.0,1.4,0.0,3.6,4.5,3.8,10.6,14.9,10.8,0.0,2.4,10.5,7.699999999999998,2.7,0.0,0.0
Andre Williams,0.2,0.1,2.2,0.3,2.1,0.5,2.6,8.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.3
Andy Janovich,0.0,6.9,0.0,0.5,1.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Dixon,6.1,0.0,-0.1,3.0,5.4,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,1.4,0.0,0.6
Anthony Sherman,0.0,0.0,0.0,0.2,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Antone Smith,11.0,12.2,16.0,14.9,1.9,0.5,0.3,0.8,0.0,1.1,0.0,0.0,0.0,5.699999999999998,3.0,6.7
Antonio Andrews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arian Foster ,19.5,37.3,18.9,19.0,21.8,13.2,16.6,9.8,5.0,16.3,19.7,27.0,11.5,0.9,2.5,1.4
Austin Ekeler,17.200000000000006,14.7,29.3,10.6,9.4,13.4,9.2,16.8,25.8,1.9,18.4,8.8,19.1,9.9,14.3,14.1
Beanie Wells,6.2,3.3,28.8,13.8,3.5,12.6,6.6,0.0,1.4,7.300000000000002,1.8,16.8,2.2,1.8,24.7,0.3
Ben Tate,13.7,5.2,28.2,6.6,10.7,4.1,12.7,19.8,3.9,9.9,5.199999999999998,13.1,-0.9,1.5,1.5,0.8
BenJarvus Green-Ellis,9.4,8.5,8.9,1.3,12.7,8.6,2.4,3.3,7.2,3.6,6.2,16.0,16.8,0.4,9.9,6.6
Benny Cunningham,1.1,0.0,0.0,1.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,1.3
Bernard Pierce,8.1,0.2,3.1,3.9,1.6,5.0,3.7,-0.2,0.8,0.9,0.4,1.4,0.0,0.6,0.0,0.0
Bernard Scott,8.9,3.9,9.1,2.4,3.8,4.0,1.3,3.0,2.9,8.0,2.8,10.7,-0.5,4.0,1.8,1.6
Bilal Powell,7.9,5.9,3.0,0.0,0.4,0.5,0.3,1.1,1.6,1.5,5.2,2.5,2.8,9.8,1.3,2.7
Bobby Rainey,10.4,3.9,0.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.8,0.8,2.1,1.8,0.0,0.6
Brandon Bolden,1.4,0.7,2.9000000000000004,6.4,10.7,11.5,6.1,0.0,0.0,0.0,1.1,0.0,7.0,0.0,0.0,0.0
Brandon Jackson,5.9,3.9,16.5,9.7,17.9,8.2,20.8,8.6,5.1,9.6,4.3,10.7,5.4,4.5,3.0,5.4
Brandon Jacobs,4.7,10.6,11.9,22.1,3.3,6.0,1.6,0.1,0.6,6.4,0.2,1.5,3.7,23.9,6.9,7.5
Brian Hill,3.0,3.5,14.5,3.3,6.4,2.4,4.5,7.4,2.4,1.8,5.5,1.8,2.0,1.7000000000000002,7.6,15.1
Brian Leonard,0.0,2.2,2.1,0.8,2.0,6.9,8.8,8.3,5.7,1.1,2.0,2.6,1.2,0.9,5.1,2.0
Brian Westbrook ,4.7,5.7,0.0,1.6,0.6,2.4,-0.1,1.8,0.9,0.0,19.6,3.1,20.0,10.0,5.3,21.8
Bruce Miller,0.4,0.0,0.0,1.3,0.3,7.8,0.0,1.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Brown,4.0,0.4,1.9,0.0,17.5,7.1,1.5,13.0,10.6,2.0,1.1,3.5,6.5,4.3,0.9,8.0
Buddy Howell,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,0.0
C.J. Anderson,15.8,22.8,6.1,3.5,3.1,9.8,0.9,0.0,0.0,2.0,0.1,-0.1,22.7,22.9,3.5,0.8
C.J. Ham,0.4,0.0,0.4,1.6,0.2,0.0,0.0,0.2,0.0,1.3,0.0,1.0,7.7,3.7,0.0,5.4
C.J. Prosise,6.4,0.8,1.7,0.2,3.0,1.4,0.0,0.1,0.0,0.0,0.0,0.0,0.3,2.2,5.9,1.7
C.J. Spiller,4.7,7.8,10.6,1.5,4.4,1.6,0.5,2.4,2.8,8.7,5.0,0.0,0.4,0.0,1.7,0.0
Cadillac Williams,6.0,7.4,5.800000000000002,0.7,16.5,5.5,8.4,4.9,1.9,0.0,1.7,0.0,4.9,2.7,4.2,7.7
Cameron Artis-Payne,12.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.1,0.0,0.0,0.5,0.0,2.5,12.8
